SampleID	Name	R1_filenames	R2_filenames
10922	ChrMrs	QGOJO329GC_20210506225159__S11_R1_001.fastq.gz	QGOJO329GC_20210506225259__S11_R2_001.fastq.gz
10923	ChrRic	QGOJO330GF_20210506225259__S12_R1_001.fastq.gz	QGOJO330GF_20210506225259__S12_R2_001.fastq.gz
10924	DunIsp	QGOJO327GU_20210506225159__S9_R1_001.fastq.gz	QGOJO327GU_20210506225159__S9_R2_001.fastq.gz
10925	DunSiH	QGOJO328G4_20210506225159__S10_R1_001.fastq.gz	QGOJO328G4_20210506225159__S10_R2_001.fastq.gz
10926	HamAva	QGOJO342G4_20210506225400__S24_R1_001.fastq.gz	QGOJO342G4_20210506225400__S24_R2_001.fastq.gz
10927	HamMin	QGOJO341GU_20210506225359__S23_R1_001.fastq.gz	QGOJO341GU_20210506225359__S23_R2_001.fastq.gz
10928	InvEsW	QGOJO336GT_20210506225359__S18_R1_001.fastq.gz	QGOJO336GT_20210506225359__S18_R2_001.fastq.gz
10929	InvKBR	QGOJO338GB_20210506225359__S20_R1_001.fastq.gz	QGOJO338GB_20210506225359__S20_R2_001.fastq.gz
10930	InvWaR	QGOJO337G3_20210506225359__S19_R1_001.fastq.gz	QGOJO337G3_20210506225359__S19_R2_001.fastq.gz
10931	NelBot	QGOJO339GJ_20210506225359__S21_R1_001.fastq.gz	QGOJO339GJ_20210506225359__S21_R2_001.fastq.gz
10932	NelMRY	QGOJO340GM_20210506225359__S22_R1_001.fastq.gz	QGOJO340GM_20210506225359__S22_R2_001.fastq.gz
10933	NplHrs	QGOJO332GV_20210507092200__S14_R1_001.fastq.gz	QGOJO332GV_20210506225259__S14_R2_001.fastq.gz
10934	NplPer	QGOJO331GN_20210506225259__S13_R1_001.fastq.gz	QGOJO331GN_20210507092000__S13_R2_001.fastq.gz
10935	WeltA	QGOJO333G5_20210506225259__S15_R1_001.fastq.gz	QGOJO333G5_20210506225259__S15_R2_001.fastq.gz
10936	WelOCH	QGOJO334GD_20210506225259__S16_R1_001.fastq.gz	QGOJO334GD_20210506225259__S16_R2_001.fastq.gz
10937	WelOWR	QGOJO335GL_20210506225259__S17_R1_001.fastq.gz	QGOJO335GL_20210506225259__S17_R2_001.fastq.gz
12007	HamCla	QGOJO343GC_20210604195917__S1_R1_001.fastq.gz	QGOJO343GC_20210604195917__S1_R2_001.fastq.gz
12008	TauCaP	QGOJO345GS_20210604195917__S3_R1_001.fastq.gz	QGOJO345GS_20210604195917__S3_R2_001.fastq.gz
12009	TauMcB	QGOJO344GK_20210604195917__S2_R1_001.fastq.gz	QGOJO344GK_20210604195917__S2_R2_001.fastq.gz
